;question;reference_answer;generated_answer;confidence_score;response_token_sum;prompt_token_sum;ref_answer_token_sum;latency;power_consumption;gpu_utilization;gpu_memory
0;In what country is Normandy located?;France;France;2.2684032956021838e-05;3;9;3;0.13967418670654297;95.13999999999999;13.5;3120.0
1;What is Southern California often abbreviated as?;SoCal;SoCal;0.3351704478263855;4;11;4;0.04276704788208008;94.24;0.0;3118.0
2;Which name is also used to describe the Amazon rainforest in English?;also known in English as Amazonia or the Amazon Jungle;Amazonia or the Amazon Jungle;0.0023548186291009188;8;16;13;0.04405546188354492;94.69;1.0;3208.0
3;An igneous rock is a rock that crystallizes from what?;rock crystallizes from melt (magma and/or lava);melt;0.5706009268760681;4;15;15;0.13215303421020508;93.975;0.0;3135.0
4;What is the largest city the Rhine runs through?;Cologne, Germany;Cologne;0.038210753351449966;4;13;6;0.045131683349609375;93.935;0.5;3135.0
5;Along with geothermal and nuclear, what is a notable non-combustion heat source?;solar power;solar power;0.006078007631003857;5;21;5;0.041408538818359375;93.82;0.0;3127.0
6;What theorem defines the main role of primes in number theory?;The fundamental theorem of arithmetic;fundamental theorem of arithmetic;1.2861522918683477e-05;7;15;7;0.052762746810913086;75.72;0.0;3118.0
7;What kind of university is the University of Chicago?;a private research university;private research university;0.05923950672149658;5;12;6;0.09152579307556152;29.435000000000002;4.0;3074.0
8;What is the second most abundant element?;helium;helium;0.001518260920420289;4;10;4;0.04378962516784668;84.77;2.5;3052.0
9;What popular term is another commonly used way of saying the Amazon?;Amazonia or the Amazon Jungle;Amazon Jungle;0.19360482692718506;4;15;8;0.042514801025390625;94.52;2.0;3051.0
10;What is the worlds largest academic and private library system?;Harvard Library;Harvard Library;0.04187777638435364;5;13;5;0.05034899711608887;55.01;5.0;3039.0
11;Which Florida city has the biggest population?;Jacksonville;Jacksonville;0.41910210251808167;4;10;4;0.09654760360717773;28.34;10.0;3037.0
12;What percentage of global assets does the richest 1% of people have?;40%;40%;0.05508032441139221;4;16;4;0.07125091552734375;24.91;21.0;3157.0
13;Where was France's Huguenot population largely centered?;the southern and central parts of France;southern and central parts of France;0.1711069494485855;9;14;9;0.08305001258850098;24.4;14.0;3178.0
14;What is a ctenophora?;phylum of animals that live in marine waters;animals that live in marine waters;7.886820822022855e-05;9;10;11;0.044568777084350586;81.31;1.5;3113.0
15;Along with non-governmental and nonstate schools, what is another name for private schools?;indipendent;indipendent;0.0023258922155946493;6;20;6;0.043834686279296875;94.71;1.0;3164.0
16;What is the largest city of Poland?;Warsaw;Warsaw;0.0292961522936821;4;10;4;0.04175305366516113;94.46;1.0;3230.0
17;By what means is imperialism usually administered?;colonization, use of military force, or other means;use of military force;0.04820863530039787;6;10;14;0.0656130313873291;71.46;5.0;3193.0
18;How long did it take to improve on Sir Isaac Newton's laws of motion?;nearly three hundred years;nearly three hundred years;0.020437654107809067;7;18;7;0.06340646743774414;32.6;4.0;3184.0
19;What aspects of life does Islamism seek to integrate itself into?;all spheres of life.;all spheres of life;0.2921183109283447;6;15;7;0.08405733108520508;26.375;8.0;3174.0
20;When was the current parliament of Scotland convened?;Following a referendum in 1997;1997;0.002450627041980624;3;11;7;0.06174802780151367;25.905;16.5;3150.0
