question,answer,
where did mexico win its independence from spain," On September 27 , 1821 the Army of the Three Guarantees entered Mexico City , and the following day Iturbide proclaimed the independence of the Mexican Empire , as New Spain was henceforth to be called . The Treaty of Córdoba was not ratified by the Spanish Cortes . Iturbide included a special clause in the treaty that left open the possibility for a criollo monarch to be appointed by a Mexican congress if no suitable member of the European royalty would accept the Mexican crown . Half of the new government employees appointed were Iturbide 's followers . ",
number of rooms in venetian hotel las vegas," The Venetian resort complex is ( together with the adjacent Sands Expo Convention Center and The Palazzo Hotel and Casino Resort ) the world 's second - largest hotel , with 4,049 rooms , 3,068 suites ranging in price from $169 to $10,000 per night and a 120,000 - square - foot ( 11,000 m ) casino . Since its opening , The Venetian Macao is now the largest casino in the world , beating The Venetian , Las Vegas . ",
how many times has miranda lambert won cma female vocalist of the year,   Year   Award   Nomination   Result     2007   Top New Female Vocalist   Miranda Lambert   Won     Female Vocalist of the Year   Nominated     2008   Top Female Vocalist   Nominated     Album of the Year   Crazy Ex-Girlfriend   Won     Single Record of the Year   `` Famous in a Small Town ''   Nominated     2009   Top Female Vocalist   Miranda Lambert   Nominated     Single Record of the Year   `` Gunpowder & Lead ''   Nominated       Top Female Vocalist of the Year   Miranda Lambert   Won     Album of the Year   Revolution   Won     Single Record of the Year   `` White Liar ''   Nominated     Song of the Year   Nominated     Video of the Year   Won     2011   Entertainer of the Year   Miranda Lambert   Nominated     Top Female Vocalist of the Year   Won     Single Record of the Year   `` The House That Built Me ''   Won     Song of the Year   Won     Video of the Year   Won     `` Only Prettier ''   Nominated     2012   Female Vocalist of the Year   Miranda Lambert   Won     Album of the Year   Four the Record   Won     2013   Female Vocalist of the Year   Miranda Lambert   Won     Entertainer of the Year   Nominated     Single of the Year   `` Over You ''   Won     Song of the Year   `` Over You '' ( performer )   Won     `` Over You '' ( writer )   Won     2014   Entertainer of the Year   Miranda Lambert   Nominated     Female Vocalist of the Year   Won     Single of the Year   `` Mama 's Broken Heart ''   Won     Song of the Year   Nominated     Video of the Year   Nominated     Vocal Event of the Year   `` We Were Us '' with Keith Urban   Won     `` Boys ' Round Here '' with Blake Shelton and Pistol Annies   Nominated     2015   Entertainer of the Year   Miranda Lambert   Nominated     Female Vocalist of the Year   Won     Album of the Year   Platinum   Won     Single of the Year   `` Automatic ''   Nominated     Song of the Year   Won     Video of the Year   `` Somethin ' Bad '' with Carrie Underwood   Nominated     Vocal Event of the Year   Nominated     2016   Female Vocalist of the Year   Miranda Lambert   Won     Entertainer of the Year   Nominated     Vocal Event of the Year   `` Smokin ' and Drinkin ' '' with Little Big Town   Won     2017   Female Vocalist of the Year   Miranda Lambert   Won     Album of the Year   The Weight of These Wings   Won     Single Record of the Year   `` Vice ''   Nominated     Song of the Year   Nominated     Video of the Year   Nominated   ,
where did the duffer brothers go to school," The Duffer brothers were born and raised in Durham , North Carolina . They began making films in the third grade using a Hi8 video camera that was a gift from their parents . They attended the Duke School for Children from grades K - 8 , a private suburban school , and then matriculated to the Charles E. Jordan High School , a large Durham public school . They relocated to Orange , California to study film at Chapman University 's Dodge College of Film and Media Arts , where they graduated in 2007 . After writing and / or directing a number of short films , their script for the post-apocalyptic horror film , Hidden , was acquired by Warner Bros. Pictures in 2011 . The brothers directed the film in 2012 , which was released in 2015 . Director M. Night Shyamalan read the script and hired them as writer / producers on the Fox television series Wayward Pines . ",
main character in to kill a mockingbird book," The story takes place during three years ( 1933 -- 35 ) of the Great Depression in the fictional `` tired old town '' of Maycomb , Alabama , the seat of Maycomb County . It focuses on six - year - old Jean Louise Finch ( nicknamed Scout ) , who lives with her older brother , Jeremy ( nicknamed Jem ) , and their widowed father , Atticus , a middle - aged lawyer . Jem and Scout befriend a boy named Dill , who visits Maycomb to stay with his aunt each summer . The three children are terrified yet fascinated by their neighbor , the reclusive Arthur `` Boo '' Radley . The adults of Maycomb are hesitant to talk about Boo , and few of them have seen him for many years . The children feed one another 's imagination with rumors about his appearance and reasons for remaining hidden , and they fantasize about how to get him out of his house . After two summers of friendship with Dill , Scout and Jem find that someone leaves them small gifts in a tree outside the Radley place . Several times the mysterious Boo makes gestures of affection to the children , but , to their disappointment , he never appears in person . ",
when does the show the good doctor premier," The Good Doctor is an American medical - drama television series , developed by David Shore , based on the 2013 South Korean series of the same name . The show is produced by Sony Pictures Television and ABC Studios , with Shore serving as showrunner . The series began airing on ABC on September 25 , 2017 . ",
what type of reaction leads to the production of polymers," The condensation reaction is used to synthetically produce nylon polymers in industry . Nylons must specifically include an straight chain ( aliphatic ) monomer . The amide link is produced from an amine group ( alternatively known as an amino group ) , and a carboxylic acid group . The hydroxyl from the carboxylic acid combines with a hydrogen from the amine , and gives rise to water , the elimination byproduct that is the namesake of the reaction . ",
when did the one game wild card start," From 1969 through 1993 , division leaders in each league advanced to the League Championship Series , with the winners of each LCS meeting in the World Series . However , an expanding number of teams over the years made making the playoffs increasingly difficult . The new system was instituted in 1994 ( but first used in 1995 because a players strike canceled the 1994 playoffs ) when Major League Baseball expanded from two to three divisions per league . In the new three - division leagues , each league had four teams in the playoffs . In addition to the three division winners , a wild - card team made the playoffs as the fourth seed . This was the team with the most wins amongst non-division winners . The wild - card matchup was played in the first round between the League leader in wins and the wild - card team , unless both teams were in the same division , which resulted in the wild card facing the second - best division winner in the league . ",
how many episode are there in season 4 of the originals," The Originals , a one - hour American supernatural drama , was renewed for a fourth season by The CW on March 17 , 2016 , by The CW 's President , Mark Pedowitz . The 2016 -- 17 United States television season debut of The Originals was pushed to midseason , which saw the fourth season premiere on March 17 , 2017 . It concluded on June 23 , 2017 , after 13 episodes . ",
what was the name of shakespeares acting company," The Globe Theatre was a theatre in London associated with William Shakespeare . It was built in 1599 by Shakespeare 's playing company , the Lord Chamberlain 's Men , on land owned by Thomas Brend and inherited by his son , Nicholas Brend and grandson Sir Matthew Brend , and was destroyed by fire on 29 June 1613 . A second Globe Theatre was built on the same site by June 1614 and closed by an Ordinance issued on 6 September 1642 . ",
how old was firmin labot when he won the tour de france in 1922," In the 1920 and 1921 Lambot placed respectably and in 1922 he won for the second time after Hector Heusghem was handed an hour penalty for swapping his bicycle after breaking the frame . He became the first to win the Tour without winning a stage . Lambot was 36 when he won the 1922 Tour , the oldest winner of one of the big cycling tours ( i.e. the tours of France , Spain and Italy ) at that time . He kept the record for over 90 years , until it was broken by 41 - year - old Vuelta winner Chris Horner in 2013 . He remains the oldest Tour winner to date . ",
when was the first pink panther movie made," The Pink Panther is a British - American media franchise primarily focusing on a series of comedy - mystery films featuring an inept French police detective , Inspector Jacques Clouseau . The franchise began with the release of the classic Pink Panther film in 1963 . The role of Clouseau was originated by and is most closely associated with Peter Sellers . Most of the films were written and directed by Blake Edwards , with theme music composed by Henry Mancini . Elements and characters inspired by the films were adapted into other media , including books , comic books and animated series . ",
where does the publisher clearing house money come from," PCH is a direct - marketing company that sells merchandise , magazine subscriptions and operates several prize - based websites . While best known for the sweepstakes and Prize Patrol it uses to promote its magazine subscriptions , the majority of the company 's revenue now comes from merchandise . The company has been selling books , media , jewelry and other consumer items since the 1980s . PCH operates eight websites , including PCH Search and Win , PCH Lotto , PCH Games , PCH Save and Win , and Candystand . ",
