question,answer
What claimed the life of singer Kathleen Ferrier?,"Cancer pathology, Deaths by cancer, Anti-cancer, Cancer (disease), Cancerophobia, Malignant lesion, Cancer medication, Malignant tumors, Cancer signs, Malignant neoplasm, Invasive (cancer), Malignant Neoplasms, Malignant growth, Sporadic cancer, Malignant cancer, Tumour virus, Cancer en cuirasse, Microtumor, Malignant neoplasms, Malignant tumour, Carcinophobia, Malignacy, Cancer patient, Epithelial cancers, Solid cancer, Cancers, Tumor medication, Malignant neoplastic disease, AIDS-related cancer, Invasive cancer, Cancer therapy, Cancerous tumor, Cancer, Financial toxicity, Cancer diagnosis, Cancer (medicine), Malignant tumor, Cancerous, Borderline (cancer), Signs of cancer, Malignancies, Cancer aromatase"
Rita Coolidge sang the title song for which Bond film?,"Kamal kahn, List of Bond girls in Octopussy, Magda (James Bond), List of James Bond allies in Octopussy, Vijay (James Bond), Bond 13, Octopussy (character), Penelope Smallbone, Octopussy, General Orlov, Kamal Khan, Octopussy (film), List of James Bond villains in Octopussy, Jim Fanning (James Bond)"
What was the last US state to reintroduce alcohol after prohibition?,"Utah (State), Forty-Fifth State, Sports in Utah, Climate of Utah, Education in Utah, UT (state), Utahn, Yutas, Geography of Utah, Utah, Utah, United States, Utah state nickname, History of mining in Utah, State of Utah, Religion in Utah, Utah (U.S. state), Transportation in Utah, Beehive State, US-UT, Utah (state), Forty-fifth State, Utahan, Politics of Utah, Salt Lake Seagulls, 45th State, History of Utah (to 1847), The Beehive State, Youtah, Transport in Utah"
Which volcano in Tanzania is the highest mountain in Africa?,"Mawensi, Mt. Kilimanjaro, Kibo (volcano), Mount killimanjaro, Highest mountain in Africa, Kilimanjaro Massif, Stella Point, Kilimandjaro, Kilimonjaro, Kilimanjaro, Gilman's Point, Killimanjaro, Kilima-Njaro, Kiliminjaro, Mt Kilimanjaro, Kilimanjaro Mountain, Mount Kilimanjaro, Mawenzi, Uhuru Peak, Kilimanjiro, Kaiser-Wilhelm-Spitze, Mt Kilamanjaro, Mount Kiliminjaro, Mount Kilimandjaro, Mount Kilamanjaro, Tussock Grassland (Tanzania), Kilamanjaro"
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","Hitlerian, Adolph Schicklgruber, HitlerAdolf, Hitler's medical health, Adolf Hitle, Hitlar, Adolph Hiedler, Adolf Hiedler, Adolph Hittler, Day of Potsdam, Adolpf Hitler, Adolf Hister, Adolf Hitlier, Adolph Hitler's health, Hitler's health, Hitlers, Aldof Hilter, HITLER, Hitler, Adolph, History of Adolf Hitler, Hitler,Adolph, Adolph Hiter, Adolf Hittler, Herr Hitler, Hitler,Adolf, Adolf Schicklegruber, Adolf hitler, Adlof hitler, Adolph Schickelgruber, Hitler Adolf, Hitlers medical health, HitlerAdolph, Adolph Schicklegruber, Adolf Hiler, Adolf Hitler's medical condition, Hittler, Adolf Schickelgruber, Adolf Hitler, Hitler's, Hitler, adolf, Nazi leader, Hitler, Adolf, Herr Wolf, Adolph Hitler's medical health, Adolph Hitler, Adolf Hitler's health, Adolf Schicklgruber, AdolphHitler, Adolf Hilter, Health of Adolf Hitler, Adolf Hitler's medical health, Hitler Adolph, AdolfHitler, Adolf HItler, Hitlet, Hitler adolf, Adoff Hitler, Adolfus Hitler, Hitler, Adolph hitler"
Who directed the classic 30s western Stagecoach?,"John Ford (1895-1973), Sean O'Feeney, John Ford (film director), Ford, John (1895-1973), Argosy Pictures, John Ford statue, John Martin O'Feeney, John Ford (director), Cavalry trilogy, John O'Feeney, Sean Aloysius O'Feeney, Ford, John, John Ford"
Dave Gilmore and Roger Waters were in which rock group?,"Grey Floyd, Pink Floyd trivia, The Screaming Ab Dabs, Pink flowd, The Meggadeaths, The Architectural Abdabs, PINK FLOYD, Pink Flod, Pink Floyd, Pink Floyd Trivia, The Pink Floyd, Notable or frequent contributors to pink floyd, The Tea Set, Pinkfloyd, Pi5, Pink floid, Pink Floyd (band), The T Set, Screaming abdabs, Notable or frequent contributors to Pink Floyd, The Megadeaths, Pik floyd, The Pink Floyd Sound, Pink floyd, The T-Set, The Screaming Abdabs, Clive Metcalfe, Meggadeaths"
"In the Bible, who did the sun and moon stand still before?","Joshua of ephraim, Y'hosheya, Yehoshea, Yahushua, Yoshea, Yehoshua%60, Yūsha, Yhoshoa, Joshua bin Nun, Joshua Ben Nun, Yehosha, Jehoshua, Yahusha, Yhoshua, Joshua Bin-Nun, Yhoshua Ben Nun, Yoshia, Yehoshua Ben Nun, Y'hoshiya, Yhoshea, Y'hoshea, Yhosheya, Yoshoa, Joshua ben Nun, Josue, Yhoshia, Y'hoshua, Yhosha, Yusha', Yhoshiya, Y'hoshia, Joshua's Prayer, Ieshua, Y'hoshoa, Yoshua, Y'hosha, Joshuah, يوشع, Joshua, Yehoshia, Jesus Navin, Joshua in Islam, Joshua's conquests, Yosheya, Joshua son of Nun, Yehoshoa, Yehoshiya, Yĕhōshūa‘, Yehosheya, Yosha, Jehoshuah, יְהוֹשֻׁעַ"
In which sport could the Pacers take on the Pistons?,"Basketball, Basketball gear, Bball, Boy's Basketball, B Ball, Shoot hoops, Basketball parity worldwide, Men's Basketball, High school basketball, Basketball Worldwide, Basketball club, B-ball, Basket-ball, Basketball team, 🏀, Basketball rim, Basketballer, Rim (basketball), Basket ball, Basketball net, Baksetball, Basketball player, Basket-Ball, A: Basketball, Women's hoops, Men's basketball, BasketBall, Basketball Parity Worldwide, Basket Ball, Baketball, Basketball Player, B ball, Unicycle basketball"
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,"Stars on 45 (Single), Stars On 45 Medley, Stars on 45 medley, Stars on 45 (song), Stars on 45 Medley, Medley: Intro Venus / Sugar Sugar / No Reply / I'll Be Back / Drive My Car / Do You Want to Know a Secret / We Can Work It Out / I Should Have Known Better / Nowhere Man / You're Going to Lose That Girl / Stars on 45"
