;question;reference_answer;generated_answer;confidence_score;response_token_sum;prompt_token_sum;ref_answer_token_sum;power_consumption
0;In what country is Normandy located?;France;France;2.2683077986584976e-05;3;9;3;
1;What is Southern California often abbreviated as?;SoCal;SoCal;0.33516788482666016;4;11;4;
2;Which name is also used to describe the Amazon rainforest in English?;also known in English as Amazonia or the Amazon Jungle;Amazonia or the Amazon Jungle;0.0023547811433672905;8;16;13;
3;An igneous rock is a rock that crystallizes from what?;rock crystallizes from melt (magma and/or lava);melt;0.5706014633178711;4;15;15;
4;What is the largest city the Rhine runs through?;Cologne, Germany;Cologne;0.03821036219596863;4;13;6;
5;Along with geothermal and nuclear, what is a notable non-combustion heat source?;solar power;solar power;0.0060780225321650505;5;21;5;
6;What theorem defines the main role of primes in number theory?;The fundamental theorem of arithmetic;fundamental theorem of arithmetic;1.2861805771535728e-05;7;15;7;
7;What kind of university is the University of Chicago?;a private research university;private research university;0.059240467846393585;5;12;6;
8;What is the second most abundant element?;helium;helium;0.0015182711649686098;4;10;4;
9;What popular term is another commonly used way of saying the Amazon?;Amazonia or the Amazon Jungle;Amazon Jungle;0.19360469281673431;4;15;8;
10;What is the worlds largest academic and private library system?;Harvard Library;Harvard Library;0.04187830910086632;5;13;5;
11;Which Florida city has the biggest population?;Jacksonville;Jacksonville;0.41910454630851746;4;10;4;
12;What percentage of global assets does the richest 1% of people have?;40%;40%;0.055079761892557144;4;16;4;
13;Where was France's Huguenot population largely centered?;the southern and central parts of France;southern and central parts of France;0.17110590636730194;9;14;9;
14;What is a ctenophora?;phylum of animals that live in marine waters;animals that live in marine waters;7.886643288657069e-05;9;10;11;
15;Along with non-governmental and nonstate schools, what is another name for private schools?;indipendent;indipendent;0.0023259115405380726;6;20;6;
16;What is the largest city of Poland?;Warsaw;Warsaw;0.029296284541487694;4;10;4;
17;By what means is imperialism usually administered?;colonization, use of military force, or other means;use of military force;0.048209451138973236;6;10;14;
18;How long did it take to improve on Sir Isaac Newton's laws of motion?;nearly three hundred years;nearly three hundred years;0.020437689498066902;7;18;7;
19;What aspects of life does Islamism seek to integrate itself into?;all spheres of life.;all spheres of life;0.2921171188354492;6;15;7;
20;When was the current parliament of Scotland convened?;Following a referendum in 1997;1997;0.002450601663440466;3;11;7;
21;The immune system protects organisms against what?;disease;disease;1.5022047819002182e-06;5;10;5;
22;"How much was the combined wealth of the ""10 Million dollar millionaires"" in 2008?";nearly $41 trillion;$41 trillion;0.13123857975006104;5;19;7;
23;When did the 1973 oil crisis begin?;October 1973;October 1973;0.08493953943252563;4;10;4;
24;When were the Normans in Normandy?;10th and 11th centuries;10th and 11th centuries;0.07888681441545486;8;10;8;
25;What is it called when people in society rebel against laws they think are unfair?;Civil disobedience;Civil disobedience;0.33577436208724976;4;18;4;
26;What are the main sources of primary law?;Treaties establishing the European Union;Treaties;3.0735861855646363e-06;5;11;9;
27;Where did the black death originate?;the arid plains of Central Asia;arid plains of Central Asia;2.689132270461414e-05;8;9;9;
28;What did Paul Baran develop?;Paul Baran developed the concept Distributed Adaptive Message Block Switching;Distributed Adaptive Message Block Switching;0.7050027251243591;10;9;16;
29;When was the French and Indian War?;1754?1763;1754?1763;0.0005421533132903278;7;10;7;
30;What are the agents the immune system detects known as?;pathogens;pathogens;0.6135463118553162;4;13;4;
31;What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship?;Computational complexity theory;Computational complexity theory;0.23259258270263672;7;22;7;
32;Which coastline does Southern California touch?;Pacific;Pacific;0.0024187706876546144;3;9;3;
33;What percentile of gross domestic product is construction comprised of?;six to nine percent;six to nine percent;0.010480614379048347;6;13;6;
34;Where according to gross state product does Victoria rank in Australia?;second;second;3.752380143851042e-05;3;14;3;
35;Sophocles demonstrated civil disobedience in a play that was called?;Antigone;Antigone;0.000450100633315742;5;16;5;
36;University of Chicago scholars played a major part in what development?;various academic disciplines;various academic disciplines;8.10511124882396e-09;6;14;6;
37;The word imperialism has it's origins in which ancient language?;Latin;Latin;0.05967975780367851;3;14;3;
38;What UN organizations established the IPCC?;the World Meteorological Organization (WMO) and the United Nations Environment Programme (UNEP);World Meteorological Organization (WMO) and the United Nations Environment Programme;4.880957021669019e-06;16;9;21;
39;Which gas makes up 20.8% of the Earth's atmosphere?;Diatomic oxygen;oxygen;0.000202660754439421;4;16;6;
40;What is the Yuan dynasty's official name?;the Great Yuan;the Great Yuan;0.7254708409309387;5;11;5;
41;What are the agents detected by the immune system called?;pathogens;pathogens;0.6581764221191406;4;13;4;
42;What is European Union Law?;a body of treaties and legislation, such as Regulations and Directives, which have direct effect or indirect effect on the laws of European Union member states;Regulations and Directives;0.21973851323127747;7;8;31;
43;What concept did philosophers in antiquity use to study simple machines?;the concept of force;force;0.001614009845070541;3;14;6;
44;What right do private schools have that public schools don't?;to select their students;to select their students;2.5290573830716312e-05;6;14;6;
45;What is the largest stadium in Australia?;Melbourne Cricket Ground;Melbourne Cricket Ground;0.015045090578496456;6;10;6;
46;Where do ctenophora live?;marine waters;marine waters;1.4855484664622054e-07;4;10;4;
47;In what country can most of the Amazon rainforest be found?;Brazil;Brazil;0.0627112165093422;3;15;3;
48;What are the two bodies that make up the European Union's legislature?;European Parliament and the Council of the European Union;European Parliament and the Council of the European Union;0.7964385747909546;11;16;11;
49;The Scottish Parliament may legislate as it pleases as long as the powers aren't already reserved by where?;Westminster;Westminster;4.551505298877601e-06;4;24;4;
