topic;question;answer
Normans;In what country is Normandy located?;France
Southern_California;What is Southern California often abbreviated as?;SoCal
Amazon_rainforest;Which name is also used to describe the Amazon rainforest in English?;also known in English as Amazonia or the Amazon Jungle
Geology;An igneous rock is a rock that crystallizes from what?;rock crystallizes from melt (magma and/or lava)
Rhine;What is the largest city the Rhine runs through?;Cologne, Germany
Steam_engine;Along with geothermal and nuclear, what is a notable non-combustion heat source?;solar power
Prime_number;What theorem defines the main role of primes in number theory?;The fundamental theorem of arithmetic
University_of_Chicago;What kind of university is the University of Chicago?;a private research university
Oxygen;What is the second most abundant element?;helium
Amazon_rainforest;What popular term is another commonly used way of saying the Amazon?;Amazonia or the Amazon Jungle
Harvard_University;What is the worlds largest academic and private library system?;Harvard Library
Jacksonville,_Florida;Which Florida city has the biggest population?;Jacksonville
Economic_inequality;What percentage of global assets does the richest 1% of people have?;40%
Huguenot;Where was France's Huguenot population largely centered?;the southern and central parts of France
Ctenophora;What is a ctenophora?;phylum of animals that live in marine waters
Private_school;Along with non-governmental and nonstate schools, what is another name for private schools?;indipendent
Warsaw;What is the largest city of Poland?;Warsaw
Imperialism;By what means is imperialism usually administered?;colonization, use of military force, or other means
Force;How long did it take to improve on Sir Isaac Newton's laws of motion?;nearly three hundred years
Islamism;What aspects of life does Islamism seek to integrate itself into?;all spheres of life.
Scottish_Parliament;When was the current parliament of Scotland convened?;Following a referendum in 1997
Immune_system;The immune system protects organisms against what?;disease
Economic_inequality;"How much was the combined wealth of the ""10 Million dollar millionaires"" in 2008?";nearly $41 trillion
1973_oil_crisis;When did the 1973 oil crisis begin?;October 1973
Normans;When were the Normans in Normandy?;10th and 11th centuries
Civil_disobedience;What is it called when people in society rebel against laws they think are unfair?;Civil disobedience
European_Union_law;What are the main sources of primary law?;Treaties establishing the European Union
Black_Death;Where did the black death originate?;the arid plains of Central Asia
Packet_switching;What did Paul Baran develop?;Paul Baran developed the concept Distributed Adaptive Message Block Switching
French_and_Indian_War;When was the French and Indian War?;1754?1763
Southern_California;What are the agents the immune system detects known as?;pathogens
Computational_complexity_theory;What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship?;Computational complexity theory
Southern_California;Which coastline does Southern California touch?;Pacific
Construction;What percentile of gross domestic product is construction comprised of?;six to nine percent
Victoria_(Australia);Where according to gross state product does Victoria rank in Australia?;second
Civil_disobedience;Sophocles demonstrated civil disobedience in a play that was called?;Antigone
University_of_Chicago;University of Chicago scholars played a major part in what development?;various academic disciplines
Impreialism;The word imperialism has it's origins in which ancient language?;Latin
Intergovernmental_Panel_on_Climate_Change;What UN organizations established the IPCC?;the World Meteorological Organization (WMO) and the United Nations Environment Programme (UNEP)
Oxygen;Which gas makes up 20.8% of the Earth's atmosphere?;Diatomic oxygen
Yuan_dynasty;What is the Yuan dynasty's official name?;the Great Yuan
Immune_system;What are the agents detected by the immune system called?;pathogens
European_Union_law;What is European Union Law?;a body of treaties and legislation, such as Regulations and Directives, which have direct effect or indirect effect on the laws of European Union member states
Force;What concept did philosophers in antiquity use to study simple machines?;the concept of force
Private_school;What right do private schools have that public schools don't?;to select their students
Victoria_(Australia);What is the largest stadium in Australia?;Melbourne Cricket Ground
Ctenophora;Where do ctenophora live?;marine waters
Amazon_rainforest;In what country can most of the Amazon rainforest be found?;Brazil
European_Union_law;What are the two bodies that make up the European Union's legislature?;European Parliament and the Council of the European Union
Scottish_Parliament;The Scottish Parliament may legislate as it pleases as long as the powers aren't already reserved by where?;Westminster
